year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,solarradiation,solarenergy,uvindex,severerisk,cloudcover,conditions,farmgate_corngrains_price,retail_corngrains_price,wholesale_corngrits_price
2026,3,4478.32,1793.96,894.85,1827.05,2000.69,28.68,32.07,24.41,78.97,9.93,100.0,6.94,22.45,20.47,62.64,1009.28,9.9,245.69,21.29,8.74,24.69,58.01,1.5,16.47,30.71,25.67
2026,4,4492.92,1810.35,902.92,1843.53,1998.6,28.6,32.65,25.23,82.95,8.5,100.0,7.01,19.1,19.76,116.47,1009.89,9.77,225.22,19.45,8.05,28.74,64.43,1.37,17.16,30.32,25.93
2026,5,4520.68,1828.52,908.87,1860.22,1985.32,28.38,32.15,25.15,83.65,9.55,100.0,7.1,22.24,18.69,131.67,1009.09,10.15,211.05,18.2,7.6,28.25,68.09,1.45,16.73,29.95,25.7
2026,6,6723.35,1839.59,911.73,1857.6,1993.17,28.01,31.28,24.65,83.01,10.04,100.0,6.43,20.79,19.1,149.55,1009.53,9.75,212.46,18.34,7.72,27.47,69.8,1.65,16.55,30.0,25.14
2026,7,6606.19,1841.94,908.83,1860.96,2007.12,27.88,31.07,24.62,83.18,9.76,100.0,7.16,21.43,19.94,155.87,1009.39,9.78,220.28,18.99,7.95,28.3,68.27,1.39,16.44,29.55,25.1
2026,8,6511.68,1838.39,913.38,1865.23,2025.17,28.06,31.34,24.64,82.5,9.92,100.0,6.31,21.36,19.43,155.24,1009.59,9.5,221.34,19.08,8.04,27.42,69.04,1.39,16.2,29.46,24.75
2026,9,6023.31,1853.02,915.35,1871.48,2037.15,28.13,31.56,24.76,82.77,10.97,100.0,6.59,20.31,18.56,130.95,1009.13,9.54,225.25,19.53,8.26,29.19,65.89,1.4,16.13,29.62,24.95
2026,10,6007.8,1858.5,915.88,1875.72,2045.0,28.0,31.23,24.87,84.01,7.17,100.0,6.83,22.38,18.53,73.28,1008.42,9.7,208.7,17.98,7.66,28.23,65.5,1.49,16.21,29.56,24.63
2026,11,6004.75,1857.92,920.33,1880.4,2042.02,27.65,30.31,24.51,83.85,7.64,100.0,7.46,23.08,20.24,60.77,1009.1,9.62,213.45,18.45,7.86,24.6,63.92,1.68,16.46,29.76,25.17
2026,12,4954.4,1871.18,936.4,1887.65,2044.52,27.32,29.51,23.93,82.94,9.04,100.0,8.01,24.38,21.72,49.04,1010.81,9.52,216.0,18.64,7.9,21.58,65.87,1.36,16.75,29.76,25.39
